Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Python for Students (2019),"There is no better time to learn Python than when you are young. Python is a powerful language for automation, game development, and web programming, and a great choice if you’re just starting to learn how to write code. The skills you learn in Python can translate C++, Ruby, and JavaScript. In this course—designed specifically for high-school and college-age students—you can learn how to use Python at an introductory level. Explore variables and functions, calculations, if-else statements, loops, and lists, and then build a complete Python project. Plus, find out where to go to learn more and how to join the Python community.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2021-03-12 19:34 UTC,N/A,false,N/A,
C# Practice: Interfaces and Abstract Classes,"<p>Test your object-oriented knowledge of C# in this edition of <i>Code Challenges</i>. Instructor and .NET developer Walt Ritscher presents five hands-on, intro-level challenges focused on abstract classes and interface implementation. Each challenge examines one aspect of these topics, and after you write the code to solve the challenge, check your work against Walt’s solution.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-03-11 16:59 UTC,N/A,false,N/A,
SQL Server Analysis Services,"<p>SQL Server Analysis Services Tabular can help you analyze your data more effectively—even if you have a large volume of data to sort through—organizing and storing your data so that you can find trends by looking at data summaries. In this course, Ginger Grant provides high-level overview SQL Server Analysis Services Tabular, with real-world examples, to help you gain insights from your data and plan for the future. Ginger shows you how to install the required complex development environment outside of SQL Server Management studio and explains the benefits of creating a data model in Analysis Services. Advanced topics include how to extend the analysis using DAX, an in-depth look at the model components, and how the different relationships change the way the data is displayed.</p><p>
Join Ginger in this course to learn how to organize and store your data in a way that makes it easier to find trends and draw conclusions—and move beyond spreadsheets!",Course,N/A,N/A,true,N/A,
"HTML, CSS, and Generative AI: Speed Up Your Process","Long gone are the days of learning code from books. Even electronic and online resources are becoming less popular. Now, artificial intelligence is a go-to tool for writing basic code, and while it has many advantages, it’s not without its own challenges. For one, while AI can help with the basics of coding, it still needs a knowledgeable user. In this course, Joe Casbona shows you how AI tools can help speed up your entire process. With the rapid development of generative AI tools, it’s important for web developers to understand how these tools work, and how they can be leveraged for prototyping, layout creation, testing, and more.",Course,N/A,N/A,true,N/A,
Learning Git and GitHub,"<div><a href=""https://www.linkedin.com/newsletters/6674822532509655040?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Ray's LinkedIn Newsletter</a></div><br>Version Control lets you manage changes you've made to files over time, and is an essential skill for developers to master. Git is by far the most popular version control system on the web. In this fast-paced course, Ray Villalobos shows you the fundamental commands that you need to work with most Git projects. He explains how to use checkpoints called commits, which let you leave messages documenting what happened at each checkpoint, as well as how to create branches that are alternate versions of your project that you can work on without changing the original. Ray also shows how to work with the popular GitHub website, going in depth with repositories and projects. Learn about pull requests, how to conduct a code review, and how to clone existing projects onto your local hard drive and use them as templates. Plus, learn about the social aspects of GitHub so you can get comments, opinions, and advice to help you refine your projects.",Course,N/A,N/A,true,N/A,
Learning GitHub (2023),"GitHub is the industry-standard tool for collaborating on and sharing code. It’s popular among software developers, project managers, designers, and students for its flexibility and control. This course introduces GitHub and Git, the version control system that GitHub is built upon. Instructor Emanuele Bartolesi shows how GitHub can create collaborative workflows for you and your team. Explore how version control enables you and your team to track the changes in your files, maintain a history of them, and get some advice to work better with open-source projects. Emanuele gives you the knowledge you need to be able to select appropriate projects to be pushed to GitHub, successfully initialize Git on an existing project, navigate the GitHub UI to perform common tasks like branching, commits, and pull requests, and more.",Course,N/A,N/A,true,N/A,
CSS: Animation,"In recent years, web animation has grown into a powerful option for enhancing user experience on the web, and CSS animation has become a core skill for web designers and developers. In this course, Val Head leads you through the CSS animation skills you need to bring motion into your interactive projects. Val introduces CSS transforms and transitions—the foundation of most CSS animations—and shows how to keyframe simple animations and adjust their timing, fill-mode, and direction. She also covers looping and chaining animations, animating HTML and SVG elements, optimizing animation performance, best uses for CSS animations right now, and the current level of support and performance and how we can expect that to change in the future. Val presents the lessons as a short series of building block animations—common things you might want to do with animations—then puts those techniques together in a small project of an animated infographic so you can see them all in action.<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.",Course,N/A,N/A,true,N/A,
DevOps Foundations: Site Reliability Engineering,"Site reliability engineering (SRE) is an emerging paradigm in DevOps. The biggest names in tech—companies like Google, Netflix, Microsoft, and LinkedIn—all use SRE. In fact, industry wide, ""site reliability engineer"" is replacing ""DevOps engineer"" in job posts. Simply put, SRE is software engineering applied to operations—for the cloud native era. This course introduces the basics of site reliability engineering, including how SRE fits into DevOps and how it can be integrated into your unique business environment. Instructors Ernest Mueller and James Wickett cover the major areas of expertise, including release engineering, change management, incident management and retrospectives, self-service automation, troubleshooting, performance, and deliberate adversity. Learn how to define reliability through SLAs and SLOs, handle crisis, design distributed systems, and scale your systems and your team. Plus, explore time and project management strategies that bring humanity back to the SRE's job.",Course,2024-07-24 09:45 UTC,N/A,false,N/A,
Git Essential Training (2023),"If you’ve ever wondered why someone should use Git or how to use it for version control, this is a great course to get started. Azure MVP and GitHub Star Barbara Forbes guides you through the installation process, the Git workflow, setting up and pushing code into a repo, and committing changes, all with a focus on version control and how Git can help you achieve it. Find out why people use Git. Learn how Git works, locally or through a provider, and how you can get it installed, configured, and running the way you need it to work. Follow the full process of pushing your code with Git, then explore ways to make changes to files. Discover important concepts in Git, like how to ignore files you don’t want to include, how branching can help you with development, what should be in a commit, and how to troubleshoot if you get into trouble. Plus, get current instruction on using GitHub Star and Microsoft MVP.",Course,N/A,N/A,true,N/A,
React.js: Building an Interface,"React is a JavaScript library with reusable components and a unique data rendering approach. Web interfaces that you create with React are flexible, fast, and lightweight. In this course, instructor Ray Villalobos reviews component architecture in React and covers key skills that you need to be able to build interfaces. Ray steps through how to install React and get started with components, debugging, and variables. He explains how you can pass data to a component, use the useState hook and conditional classes, and toggle items by passing the state to a sub-component and using values to hide or show sub-components. Ray describes how you can delete records, search with a filtered array, set up a sort, and more. He shows how you can finish up your application by creating the code for adding appointments.",Course,2021-08-25 09:53 UTC,N/A,false,N/A,
